country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,10,703090,103903154,148,,,,
Malaysia,2001,15,702280,103859799,148,,,,
Malaysia,2001,20,701563,103819782,148,,,,
Malaysia,2001,25,701154,103796483,148,,,,
Malaysia,2001,30,700460,103756595,148,3293023.0,1472643.0,1820380.0,1009168.0
Malaysia,2001,50,696739,103514238,149,3282890.0,1451336.0,1831554.0,1006190.0
Malaysia,2001,75,679965,102143987,150,3208370.0,1363382.0,1844988.0,970777.0
Malaysia,2001,0,301803,29205321,97,,,,
Malaysia,2001,10,256536,29146967,114,,,,
Malaysia,2001,15,254727,29064454,114,,,,
Malaysia,2001,20,253622,29013259,114,,,,
Malaysia,2001,25,252867,28978409,115,,,,
Malaysia,2001,30,251549,28916865,115,2471061.0,939298.0,1531762.0,3033550.0
Malaysia,2001,50,244136,28516041,117,2438007.0,898234.0,1539774.0,3018527.0
Malaysia,2001,75,217345,26746905,123,2256794.0,751315.0,1505479.0,2956062.0
Malaysia,2001,0,543869,73414009,135,,,,
Malaysia,2001,10,525879,73379722,140,,,,
Malaysia,2001,15,525119,73338113,140,,,,
Malaysia,2001,20,524505,73302875,140,,,,
Malaysia,2001,25,524142,73281672,140,,,,
Malaysia,2001,30,523474,73242242,140,2490053.0,1336927.0,1153125.0,860193.0
Malaysia,2001,50,520072,73015935,140,2480452.0,1318148.0,1162303.0,857260.0
Malaysia,2001,75,502421,71569328,142,2387973.0,1223251.0,1164722.0,829632.0
Malaysia,2001,0,201446,19558150,97,,,,
Malaysia,2001,10,174800,19527759,112,,,,
Malaysia,2001,15,173645,19468221,112,,,,
Malaysia,2001,20,172642,19413490,112,,,,
Malaysia,2001,25,172111,19384407,113,,,,
Malaysia,2001,30,171303,19339792,113,1600336.0,667058.0,933278.0,1744235.0
Malaysia,2001,50,166458,19032212,114,1588020.0,637521.0,950499.0,1737203.0
Malaysia,2001,75,145104,17349368,120,1482620.0,535650.0,946970.0,1578852.0
Malaysia,2001,0,378906,37553077,99,,,,
Malaysia,2001,10,343080,37499600,109,,,,
Malaysia,2001,15,341555,37434275,110,,,,
Malaysia,2001,20,340386,37381899,110,,,,
Malaysia,2001,25,339680,37350514,110,,,,
Malaysia,2001,30,338588,37301819,110,5224647.0,1144331.0,4080316.0,2362673.0
Malaysia,2001,50,331913,36963918,111,5195805.0,1107054.0,4088751.0,2354895.0
Malaysia,2001,75,309294,35646679,115,5032069.0,984932.0,4047138.0,2299947.0
Malaysia,2001,0,228817,28771568,126,,,,
Malaysia,2001,10,219247,28757032,131,,,,
Malaysia,2001,15,218742,28729749,131,,,,
Malaysia,2001,20,218337,28706590,131,,,,
Malaysia,2001,25,218087,28692319,132,,,,
Malaysia,2001,30,217605,28664155,132,1317651.0,624388.0,693264.0,637818.0
